tp,op,hhtested,version
0.6,0.004,0.4,clnrs
0.6,0.005,0.4,clnrs
0.6,0.006,0.4,clnrs
0.6,0.004,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0.007,0.4,clnrs
0.6,0.007,0.4,clnrs
0.6,0.004,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.003,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0.005,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0.004,0.4,clnrs
0.6,0.006,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0.005,0.4,clnrs
0.6,0.003,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0.003,0.4,clnrs
0.6,0.004,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.005,0.4,clnrs
0.6,0.003,0.4,clnrs
0.6,0.005,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0.006,0.4,clnrs
0.6,0.005,0.4,clnrs
0.6,0.005,0.4,clnrs
0.6,0.004,0.4,clnrs
0.6,0.006,0.4,clnrs
0.6,0,0.4,clnrs
0.6,0,0.4,clnrs
0.6,0.006,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.003,0.4,clnrs
0.6,0.005,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.003,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.006,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.005,0.4,clnrs
0.6,0.007,0.4,clnrs
0.6,0.003,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.007,0.4,clnrs
0.6,0.003,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.005,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.004,0.4,clnrs
0.6,0,0.4,clnrs
0.6,0.001,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.006,0.4,clnrs
0.6,0.002,0.4,clnrs
0.6,0.003,0.4,clnrs
